uid,content,text,postedAt,SEEN
_:status0,What do you think of the new design?,What do you think of the new design?,2025-04-22T03:47:17.225258,"['_:user10', '_:user1', '_:user7', '_:user14', '_:user13', '_:user2', '_:user6']"
_:status1,"I'll be out this afternoon, ping me if needed.",Don't forget the team dinner tonight.,2025-04-22T03:47:17.225279,"['_:user7', '_:user10', '_:user13', '_:user11', '_:user12', '_:user3']"
_:status2,Don't forget the team dinner tonight.,"Hey, are we still on for the meeting tomorrow?",2025-04-21T03:47:17.225292,"['_:user5', '_:user3', '_:user7']"
_:status3,Don't forget the team dinner tonight.,"Great job on the project, team!",2025-04-23T03:47:17.225302,"['_:user0', '_:user14', '_:user9']"
_:status4,Don't forget the team dinner tonight.,"Hey, are we still on for the meeting tomorrow?",2025-04-21T03:47:17.225313,"['_:user14', '_:user9', '_:user3', '_:user1']"
_:status5,"Great job on the project, team!","Hey, are we still on for the meeting tomorrow?",2025-04-22T03:47:17.225328,"['_:user6', '_:user10', '_:user14', '_:user4', '_:user9', '_:user5']"
_:status6,What do you think of the new design?,I just finished the task!,2025-04-25T03:47:17.225340,"['_:user8', '_:user5', '_:user2', '_:user14', '_:user0', '_:user4']"
_:status7,I just finished the task!,Don't forget the team dinner tonight.,2025-04-24T03:47:17.225352,"['_:user2', '_:user7', '_:user12', '_:user0', '_:user8', '_:user11']"
_:status8,"Hey, are we still on for the meeting tomorrow?","Great job on the project, team!",2025-04-22T03:47:17.225364,"['_:user4', '_:user3', '_:user7', '_:user8']"
_:status9,I just finished the task!,Feeling productive today!,2025-04-24T03:47:17.225375,"['_:user1', '_:user3', '_:user9', '_:user8', '_:user4', '_:user0']"
_:status10,What do you think of the new design?,"Here's the latest report, check it out.",2025-04-22T03:47:17.225384,"['_:user10', '_:user12', '_:user0']"
_:status11,Can someone help me fix this bug?,I just finished the task!,2025-04-24T03:47:17.225395,"['_:user13', '_:user4', '_:user1', '_:user14']"
_:status12,What do you think of the new design?,Can someone help me fix this bug?,2025-04-23T03:47:17.225404,"['_:user3', '_:user2', '_:user0', '_:user6']"
_:status13,Don't forget the team dinner tonight.,"Hey, are we still on for the meeting tomorrow?",2025-04-23T03:47:17.225415,"['_:user11', '_:user2', '_:user10', '_:user3', '_:user9', '_:user6']"
_:status14,"Here's the latest report, check it out.",Can someone help me fix this bug?,2025-04-24T03:47:17.225432,"['_:user7', '_:user10', '_:user3', '_:user2', '_:user5', '_:user0', '_:user11']"
_:status15,Can someone help me fix this bug?,Can someone help me fix this bug?,2025-04-26T03:47:17.225449,"['_:user0', '_:user7', '_:user5', '_:user2', '_:user11', '_:user10', '_:user4']"
_:status16,"Great job on the project, team!","I'll be out this afternoon, ping me if needed.",2025-04-23T03:47:17.225466,"['_:user11', '_:user0', '_:user2', '_:user1', '_:user7']"
_:status17,Can someone help me fix this bug?,"Great job on the project, team!",2025-04-24T03:47:17.225482,"['_:user6', '_:user1', '_:user13', '_:user7', '_:user0', '_:user3']"
_:status18,"Great job on the project, team!","Great job on the project, team!",2025-04-21T03:47:17.225494,"['_:user8', '_:user3', '_:user0', '_:user1', '_:user7', '_:user2']"
_:status19,"Great job on the project, team!",What do you think of the new design?,2025-04-22T03:47:17.225503,"['_:user13', '_:user5', '_:user10', '_:user3', '_:user6']"
_:status20,"Hey, are we still on for the meeting tomorrow?","Here's the latest report, check it out.",2025-04-23T03:47:17.225518,"['_:user6', '_:user2', '_:user11', '_:user14', '_:user9', '_:user4', '_:user8']"
_:status21,"Hey, are we still on for the meeting tomorrow?",Anyone up for a quick call?,2025-04-24T03:47:17.225534,"['_:user5', '_:user12', '_:user6']"
_:status22,Feeling productive today!,What do you think of the new design?,2025-04-24T03:47:17.225551,"['_:user3', '_:user12', '_:user9', '_:user11', '_:user6', '_:user5']"
_:status23,Can someone help me fix this bug?,"Great job on the project, team!",2025-04-26T03:47:17.225564,"['_:user13', '_:user11', '_:user5', '_:user1', '_:user12', '_:user9']"
_:status24,"Here's the latest report, check it out.","Hey, are we still on for the meeting tomorrow?",2025-04-23T03:47:17.225574,"['_:user3', '_:user12', '_:user1', '_:user10']"
